id,day,isFull,dayScheduleId
8,2015-03-12,0,26
12,2016-01-26,0,19
18,2016-02-21,0,22
20,2016-03-03,0,9
21,2016-03-04,0,18
22,2016-02-14,0,24
26,2016-01-13,0,12
30,2016-01-11,0,39
34,2016-01-14,0,40
37,2016-02-29,0,46
38,2016-01-13,0,27
39,2016-01-13,0,47
40,2016-01-18,0,38
41,2016-01-19,0,3
42,2016-01-19,0,5
43,2016-01-13,0,10
44,2016-01-14,0,48
45,2016-01-12,0,43
46,2016-03-01,0,52
47,2016-02-29,0,53
